13:28:18  |  Core  |  Info  |  destroy layer 'Popup'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'Notification'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'Video'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'InputBlocker'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'Pointer'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  LayerManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  58
13:28:18  |  Core  |  Info  |  * Shutdown: FontManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_FontManager.cpp  |  49
13:28:18  |  Core  |  Info  |  FontManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_FontManager.cpp  |  57
13:28:18  |  Core  |  Info  |  * Shutdown: ControllerManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  48
13:28:18  |  Core  |  Info  |  ControllerManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  58
13:28:18  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  45
13:28:18  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  53
13:28:18  |  Core  |  Info  |  * Shutdown: LayoutManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  42
13:28:18  |  Core  |  Info  |  LayoutManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  49
13:28:18  |  Core  |  Info  |  * Shutdown: PluginManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  40
13:28:18  |  Core  |  Info  |  PluginManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  45
13:28:18  |  Core  |  Info  |  * Shutdown: DynLibManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  36
13:28:18  |  Core  |  Info  |  DynLibManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  43
13:28:18  |  Core  |  Info  |  * Shutdown: LanguageManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  41
13:28:18  |  Core  |  Info  |  LanguageManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  45
13:28:18  |  Core  |  Info  |  * Shutdown: ResourceManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  46
13:28:18  |  Core  |  Info  |  ResourceManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  56
13:28:18  |  Core  |  Info  |  * Shutdown: FactoryManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  33
13:28:18  |  Core  |  Info  |  FactoryManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  35
13:28:18  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  45
13:28:18  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  50
13:28:18  |  Core  |  Info  |  * Shutdown: WidgetManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  89
13:28:18  |  Core  |  Info  |  WidgetManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  98
13:28:18  |  Core  |  Info  |  Gui successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_Gui.cpp  |  153
13:28:18  |  Platform  |  Info  |  * Shutdown: RenderManager  |  /usr/src/debug/openmw/openmw-openmw-0.49.0/components/myguiplatform/myguirendermanager.cpp  |  370
13:28:18  |  Platform  |  Info  |  RenderManager successfully shutdown  |  /usr/src/debug/openmw/openmw-openmw-0.49.0/components/myguiplatform/myguirendermanager.cpp  |  378
